SKU,Photo,Brand,Type,Model #,Dial,Product Description,Price,# of links / screw,Paper,Date,Serial #,Box,Status,More Photos,Notes,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21
10384,,Cartier,Unworn,WGPN0058,WHITE,PANTHERE DE CARTIER YG MEDIUM ,"$27,500.00",Full Links,With Card,7-May-2026,XXXX60GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
10012,,Cartier,Unworn,WGTA0010,WHITE,TANK LOUIS ROSE GOLD SMALL BROWN  ALLIGATOR STRAP,"$12,000.00",Leather Strap,With Card,2026,XXXX21GY,With Box,In stock,,,,,,,,,,,,,,,,,,,,,,
10582,,Cartier,Unworn,WGTA0010,WHITE,TANK LOUIS ROSE GOLD SMALL BROWN  ALLIGATOR STRAP,"$12,100.00",Leather Strap,With Card,1-Jun-2026,XXXX04GY,With Box,Sold,watch and card,,,,,,,,,,,,,,,,,,,,,
10991,,Cartier,Unworn,WGTA0342,WHITE,"18K YG TANK
LOUIS SMALL","$12,000.00",Leather Strap,With Card,21-Jul-2026,XXXX04GY,With Box,Sold,watch and card,,,,,,,,,,,,,,,,,,,,,
10992,,Cartier,Unworn,WGTA0342,WHITE,"18K YG TANK
LOUIS SMALL","$12,000.00",Leather Strap,With Card,21-Jul-2026,XXXX44GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
11196,,Cartier,Unworn,WGTA0342,WHITE,"18K YG TANK
LOUIS SMALL","$12,000.00",Leather Strap,With Card,,XXX144GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
11053,,Cartier,Unworn,WGTA0352,GRAINED SILVER,"18K YG TANK
LOUIS MINI ON BLACK ALLIGATOR
STRAP","$8,150.00",Leather Strap,With Card,2026,XXXX95GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
10301,,Cartier,Unworn,WGTA0344,GOLDEN SUNRAY,TANK FRANCAISE YG SMALL GOLDEN SUNRAY ,"$23,900.00",Full Links,With card,2026,XXXX68GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
10779,,Cartier,Unworn,WJPN0088,WHITE,RG PANTHERE DE CARTIER DIAMOND BZ MEDIUM ,"$33,000.00",Full Links,With Card,19-May-2026,XXXX62FY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
9885,,Cartier,Unworn,WJPN0059,WHITE,YG PANTHERE DE CARTIER DIAMOND BZ YG DIA STRAP SMALL,"$44,625.00",Full Links,With Card,2026,XXXX97FY,With Box,In stock,more photos,,,,,,,,,,,,,,,,,,,,,
9788,,Cartier,Unworn,WJPN0060,WHITE,YG PANTHERE DE CARTIER DIAMOND BZ YG DIA STRAP MEDIUM,"$56,500.00",Full Links,With Card,27-Feb-2026,XXXX64FY,With Box,In stock,more photos,,,,,,,,,,,,,,,,,,,,,
11051,,Cartier,Unworn,WSPN0012,SILVER,"PANTHERE
SS SIZE MINI SILVER DIAL ON
BRACELET","$3,950.00",Full Links,With Card,2026,XXXX90GY,With Box,Sold,watch and card,,,,,,,,,,,,,,,,,,,,,
11148,,Cartier,Unworn,WSPN0012,SILVER,"PANTHERE
SS SIZE MINI SILVER DIAL ON
BRACELET","$3,950.00",Full Links,With Card,2026,XXXX97GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
11165,,Cartier,Unworn,WSPN0012,SILVER,"PANTHERE
SS SIZE MINI SILVER DIAL ON
BRACELET","$3,950.00",Full Links,With Card,11-Aug-2026,XXXX22GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
11038,,Cartier,Unworn,WSPN0013,SILVER,PANTHERE SS SMALL SILVER DIAL ON BRACELET,"$4,700.00",Full Links,With Card,,XXXX86FY,With Box,Sold,watch and card,,,,,,,,,,,,,,,,,,,,,
11063,,Cartier,Unworn,WSPN0013,SILVER,PANTHERE SS SMALL SILVER DIAL ON BRACELET,"$4,700.00",Full Links,With Card,2026,XXXX47GY,With Box,Sold,watch and card, ,,,,,,,,,,,,,,,,,,,,
10642,,Cartier,Unworn,WSPN0015,WHITE,PANTHÈRE DE CARTIER WATCH SS MEDIUM,"$5,450.00",Full Links,No Paper / Card,2026,XXXX07FY,With Box,In stock,watch,,,,,,,,,,,,,,,,,,,,,
11130,,Cartier,Unworn,WSPN0015,WHITE,PANTHÈRE DE CARTIER WATCH SS MEDIUM,"$5,450.00",Full Links,With Card,2026,XXXX10GY,With Box,Sold,watch and card,,,,,,,,,,,,,,,,,,,,,
11163,,Cartier,Unworn,WSPN0015,WHITE,PANTHÈRE DE CARTIER WATCH SS MEDIUM,"$5,450.00",Full Links,With Card,4-Aug-2026,XXXX20GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
11164,,Cartier,Unworn,WSPN0015,WHITE,PANTHÈRE DE CARTIER WATCH SS MEDIUM,"$5,450.00",Full Links,With Card,23-Jul-2026,XXXX83GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
11040,,Cartier,Unworn,WSPN0016,WHITE,PANTHÈRE DE CARTIER WATCH SS LARGE,"$5,900.00",Full Links,With Card,2026,XXXX63GY,With Box,Sold,,,,,,,,,,,,,,,,,,,,,,
11114,,Cartier,Unworn,WSPN0016,WHITE,PANTHÈRE DE CARTIER WATCH SS LARGE,"$6,950.00",Full Links,With Card,2026,XXXX61GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
10640,,Cartier,Unworn,WSRD0020,WHITE,ROADSTER STEEL LARGE WITH BLUE LEATHER STRAP ,"$8,800.00",Steel / Leather Strap,With Card,1-Jun-2026,XXXX06GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
11064,,Cartier,Unworn,WSSA0018,WHITE,"SANTOS DE
CARTIER SS LARGE STEEL WITH 2ND
TAN LEATHER STRAP","$8,200.00",Steel / Leather Strap,With Card,2026,XXXX24GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
10995,,Cartier,Unworn,WSSA0029,WHITE,SANTOS DE CARTIER WATCH WHITE MEDIUM,,Steel / Leather Strap,With Card,,XXXX04GY,With Box,Sold,watch and card,,,,,,,,,,,,,,,,,,,,,
11061,,Cartier,Unworn,WSSA0029,WHITE,SANTOS DE CARTIER WATCH WHITE MEDIUM,"$7,500.00",Steel / Leather Strap,With Card,2026,XXXX13GY,With Box,11046,watch and card,,,,,,,,,,,,,,,,,,,,,
11129,,Cartier,Unworn,WSSA0029,WHITE,SANTOS DE CARTIER WATCH WHITE MEDIUM,"$7,500.00",Steel / Leather Strap,With Card,2026,XXXX91GY,With Box,Sold,watch and card,,,,,,,,,,,,,,,,,,,,,
11195,,Cartier,Unworn,WSSA0029,WHITE,SANTOS DE CARTIER WATCH WHITE MEDIUM,"$7,500.00",Steel / Leather Strap,With Card,2026,XXXX87GY,With Box,In stock,watch and card,,,,,,,,,,,,,,,,,,,,,
9739,,Cartier,Unworn,WSSA0032,WHITE,SANTOS DUMONT SS XL BLACK STRAP,"$6,500.00",Leather Strap,With Card,2026,XXXX58FY,With Box,In stock,,,,,,,,,,,,,,,,,,,,,,
